"Nom","Adresse 1","Adresse 2","Code postal","Ville","T้l้phone 1","T้l้phone 2","Fax","NAF","SIRET","Effectif","Email","Responsable","Activit้"
"AMRI ISKANDER","","1420 CHEMIN LAVIZARD","31600","LAMASQUERE","0786262396","","","4391A","50340889000021","Inconnu","","AMRI ISKANDER","TRAVAUX DE CHARPENTE"
"ANTHONY CHARPENTE EURL","","1161 ROUTE VERRIERE","31340","VACQUIERS","0675065624","","","4391A","80055241600011","0","","BARRIERE ANTHONY","TRAVAUX DE CHARPENTE"
"ARBA","","12 CHEMIN FLOU DE RIOUS","31400","TOULOUSE","0562171305","","","4391A","38811124700010","1 เ 2","","MINIER BERNARD","TRAVAUX DE CHARPENTE"
"ARIAS DIDIER","","25 ROUTE VILLEMUR","31620","CEPET","0670342609","","","4391A","42294690500029","Inconnu","","ARIAS DIDIER","TRAVAUX DE CHARPENTE"
"ATOUT BOIS","","17 ROUTE SALIES","31260","CASSAGNE","0627917790","","","4391A","81199288200019","0","","CARRETEY PIERRE","TRAVAUX DE CHARPENTE"
"AUGE GILLES","","CHEMIN LAMITATTMENS","31250","REVEL","0562710754","","","4391A","79996026500012","0","","AUGE GILLES","TRAVAUX DE CHARPENTE"
"AVCOBOIS","","4252 ROUTE BAZIEGE","31670","LABEGE","0532091396","","","4391A","80357846700026","10 เ 19","","MARFAING DIDIER","TRAVAUX DE CHARPENTE"
"BARHOUMI ISSAM","","188 AVENUE FRONTON","31200","TOULOUSE","0953611197","","","4391A","83857880500015","0","","BARHOUMI ISSAM","TRAVAUX DE CHARPENTE"
"BARHOUMI SAMI","","30 ROUTE BONREPOS","31470","FONTENILLES","0637380123","","","4391A","79402927200018","0","","BARHOUMI SAMI","TRAVAUX DE CHARPENTE"
"BARHOUMI TAREK","","7 ALLEE FELIBRES","31520","RAMONVILLE ST AGNE","0613948643","","","4391A","80276495100017","Inconnu","","BARHOUMI TAREK","TRAVAUX DE CHARPENTE"
"BARTHE SERGE","","108 CHEMIN RIBAROT","31330","MERVILLE","0680012243","","","4391A","43453560500027","Inconnu","","BARTHE SERGE","TRAVAUX DE CHARPENTE"
"BATAILHOU FRANCOIS","","PRE D'ANDREOU","31310","BAX","0561871676","","","4391A","41206049300019","Inconnu","","BATAILHOU FRANCOIS","TRAVAUX DE CHARPENTE"
"BC CHARPENTE","","1310 CHEMIN CANTOPERDRIC","31600","EAUNES","0686920735","","","4391A","51149306600043","0","","BENBRAHIM CHEICK","TRAVAUX DE CHARPENTE"
"BEDIN JONATHAN","","60 RUE CUGNAUX","31300","TOULOUSE","0620811618","","","4391A","81067540500015","Inconnu","","BEDIN JONATHAN","TRAVAUX DE CHARPENTE"
"BEGUE PHILIPPE SARL","","1662 ROUTE COTE ROUGE","31330","MERVILLE","0561858089","","0561069447","4391A","33168893700019","6 เ 9","","BEGUE PHILIPPE","TRAVAUX DE CHARPENTE"
"BK CHARPENTE","","16 AVENUE GEN LECLERC","31270","CUGNAUX","0621887406","","","4391A","53052103800014","Inconnu","","BETTICHE KAMEL","TRAVAUX DE CHARPENTE"
"BN CONSTRUCTION","","203 AVENUE FRONTON","31200","TOULOUSE","0784607841","","","4391A","89411713400011","Inconnu","","BARHOUMI NABIL","TRAVAUX DE CHARPENTE"
"BOIS CHRISTOPHE","","1441 ROUTE AUSSONNE","31330","MERVILLE","0634908331","","","4391A","42814281400022","Inconnu","","BOIS CHRISTOPHE","TRAVAUX DE CHARPENTE"
"BRIFFAUD CHARPENTE","","555 D ROUTE RASTEL","31620","FRONTON","0668813042","","","4391A","50081084100030","0","","BRIFFAUD FREDERIC","TRAVAUX DE CHARPENTE"
"BRUN ET FILS","","64 ROUTE ST RUSTICE","31620","CASTELNAU D'ESTRETEFONDS","0561357814","","","4391A","81294115100019","1 เ 2","","BRUN CHRISTIAN","TRAVAUX DE CHARPENTE"
"BTS DU COMMINGES","","34 Bis QUARTIER HERRE","31350","LESPUGUE","0678517196","","","4391A","52454345100016","1 เ 2","","CLAIE JONATHAN","TRAVAUX DE CHARPENTE"
"CAMUS ROBERT","","LE BOUSQUET","31390","SALLES SUR GARONNE","0561905061","","","4391A","34098706400045","Inconnu","","CAMUS ROBERT","TRAVAUX DE CHARPENTE"
"CARNEIRO MANUEL","","33 AVENUE ROQUETTES","31860","PINS JUSTARET","0615374348","","0978572626","4391A","81050191600011","1 เ 2","","LAMOULINERIE SYLVIE","TRAVAUX DE CHARPENTE"
"CARRERE CHRISTOPHE","","3 CHEMIN LAVOIR","31380","GARIDECH","0681648208","","","4391A","42860595000065","Inconnu","","","TRAVAUX DE CHARPENTE"
"CAZABAT LAURENT","","32 CHEMIN POUCHETOS","31800","LABARTHE RIVIERE","0607880243","","","4391A","48954231600018","Inconnu","laurent-sophie.cazabat@orange.fr","CAZABAT LAURENT","TRAVAUX DE CHARPENTE"
"CHARPENTE A B","","9 Ter AVENUE LYON","31500","TOULOUSE","0617445188","","","4391A","48801885400031","3 เ 5","","BACHIR ALI","TRAVAUX DE CHARPENTE"
"CHARPENTE COUVERTURE CONSTRUCTION 3C","","30 ALLEE BELLEFONTAINE","31100","TOULOUSE","0626647744","","","4391A","83463233300011","0","","HAFDHALLI JAMEL","TRAVAUX DE CHARPENTE"
"CHARPENTE COUVERTURE FONSORBAISE","","572 AVENUE GARE","31470","FONSORBES","0685928548","","","4391A","44481279600019","3 เ 5","","ADELIN JOEL","TRAVAUX DE CHARPENTE"
"CHARPENTE OCCITANE","","8 RUE REPUBLIQUE","31380","BAZUS","0561848417","","","4391A","82792419200012","Inconnu","","CANUT THOMAS","TRAVAUX DE CHARPENTE"
"CHARPENTES LAURAGAISE","","EN PEZOU","31460","MASCARVILLE","0561816863","0678457451","","4391A","48894543700017","1 เ 2","","COUTURIER THIERRY","TRAVAUX DE CHARPENTE"
"CHOSCOBOIS","","19 ALLEE LIBERATION","31370","RIEUMES","0679137266","","","4391A","51284030700015","0","","CHOSCOBOIS","TRAVAUX DE CHARPENTE"
"CHRISTOPHER","","791 CHEMIN EMBALENS","31620","CASTELNAU D'ESTRETEFONDS","0651652761","","","4391A","81362287500017","0","","OZKURT JEAN-CHRISTOPHE","TRAVAUX DE CHARPENTE"
"CMA HABITAT","","20 ZA LAGARRIGUE","31380","GARIDECH","0561843990","","","4391A","49824415100029","6 เ 9","","BARRAUX LAURENT","TRAVAUX DE CHARPENTE"
"COQUEL TILL","","LIEU DIT LOUPEY","31350","ESCANECRABE","0675481499","","","4391A","51086679100013","0","","COQUEL TILL","TRAVAUX DE CHARPENTE"
"COUEGNAS CHARPENTE","","QUARTIER CAP DEL BOSC","31230","MONTESQUIEU GUITTAUT","0671985671","","","4391A","80434229300011","Inconnu","","COUEGNAS BERTRAND","TRAVAUX DE CHARPENTE"
"COUTRIX CHARPENTE COUVERTURE","","239 HAM RAYGADES","31340","VILLEMATIER","0770081239","","","4391A","81346904600011","Inconnu","","COUTRIX NICOLAS","TRAVAUX DE CHARPENTE"
"CRIADO AXEL","","109 CHEMIN BOUDOU","31140","LAUNAGUET","0614417378","","","4391A","80151053800011","Inconnu","","CRIADO AXEL","TRAVAUX DE CHARPENTE"
"CTP SARL","CABANASSE","AVENUE ST ANDRE","31440","BURGALAYS","0614472941","","","4391A","78883301000010","6 เ 9","","DENARD ANDRE","TRAVAUX DE CHARPENTE"
"DA ROCHA CARNEIRO RAFAEL","","36 ROUTE VILLENEUVE","31120","ROQUES","0667558572","","","4391A","83794112900012","0","","DA ROCHA CARNEIRO RAFAEL","TRAVAUX DE CHARPENTE"
"DAMIEN LOZE","","19 LOTISSEMENT PRADAS","31390","MARQUEFAVE","0687921413","","","4391A","85360916200021","Inconnu","","LOZE DAMIEN","TRAVAUX DE CHARPENTE"
"DANFLOUS MATHIEU","","VILLAGE","31350","CHARLAS","0677669534","","","4391A","79219464900010","0","","DANFLOUS MATHIEU","TRAVAUX DE CHARPENTE"
"DCCM","","65 Bis AVENUE RAYMOND SOMMER","31480","CADOURS","0674943923","","","4391A","81790921100010","0","","DAVID CYRIL","TRAVAUX DE CHARPENTE"
"DE FREITAS GABRIEL","","53 ROUTE ESPAGNE","31100","TOULOUSE","0622531258","","","4391A","53926230300016","Inconnu","","DE FREITAS GABRIEL","TRAVAUX DE CHARPENTE"
"DEJEAN MICHEL","","3 RUE JARDINS","31390","CARBONNE","0581449263","","","4391A","3172812930004","0","","","TRAVAUX DE CHARPENTE"
"DIAS MONTEIRO DANIEL","","24 RUE CONDITE","31140","MONTBERON","0561359323","","","4391A","49251736200025","Inconnu","","DIAS MONTEIRO DANIEL","TRAVAUX DE CHARPENTE"
"DOUAUD CHARPENTE","","328 CHEMIN PRAT","31370","BERAT","0777885262","","","4391A","75022265500011","Inconnu","","DOUAUD VINCENT","TRAVAUX DE CHARPENTE"
"DUCASSE GREGORY","","20 RUE NEGRETTE","31620","VILLAUDRIC","0632165499","","","4391A","51074260400034","0","","DUCASSE GREGORI","TRAVAUX DE CHARPENTE"
"DUGUE DANIEL","","280 RUE GRAVES","31340","MIREPOIX SUR TARN","0561744791","","","4391A","30608959000021","0","","DUGUE DANIEL","TRAVAUX DE CHARPENTE"
"ECCORCE","","14 RUE JEAN BOURGADE","31190","PUYDANIEL","0772725059","","","4391A","87927059300012","Inconnu","","LAFLEUR CORENTIN","TRAVAUX DE CHARPENTE"
"EIRLE LEFORESTIER","","5 CHEMIN LAUBAREDE","31840","AUSSONNE","0642279444","","","4391A","89745815400019","Inconnu","","LEFORESTIER THIERRY","TRAVAUX DE CHARPENTE"
"ELBARHOUMI ATEF","","2 RUE ANDRE CHAMSON","31200","TOULOUSE","0954192520","","","4391A","8381614120001","Inconnu","","","TRAVAUX DE CHARPENTE"
"ENTRE TOITS & BOIS","","13 RUE ROUSSILLON","31700","BLAGNAC","0685128255","","","4391A","79240839500012","1 เ 2","","GARROS MATTHIEU","TRAVAUX DE CHARPENTE"
"ENTREPRISE CHAMPEAU ET CIE","","LIEU DIT BORDENEUVE","31450","FOURQUEVAUX","0561812117","","0561814240","1623Z","75550012100040","6 เ 9","","","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"ENTREPRISE OLIVIER BATMALLE","","ROUTE GARIOUERE","31210","LES TOURREILLES","0673985966","","","4391A","50075872700019","3 เ 5","","BATMALLE OLIVIER","TRAVAUX DE CHARPENTE"
"EUROPE TOITURE","","20 BOULEVARD PYRENEES","31350","BOULOGNE SUR GESSE","0772163434","","","4391A","75061948800034","0","","SATTLER ERIC","TRAVAUX DE CHARPENTE"
"FRANCK BOYER LES METIERS DU TOIT","","263 CHEMIN LEZENS","31330","MERVILLE","0561854366","","","4391A","44122063900013","3 เ 5","","BOYER FRANCK","TRAVAUX DE CHARPENTE"
"FRESQUET CHARPENTE","","82 ROUTE VILLENEUVE","31120","ROQUES","0561311631","","","4391A","42385666500025","6 เ 9","fresquetcharpente@wanadoo.fr","FRESQUET AGATHE","TRAVAUX DE CHARPENTE"
"FROSSARD SYDNEY","","21 AVENUE GARE","31210","GOURDAN POLIGNAN","0561883461","","","4391A","45357045900033","Inconnu","","","TRAVAUX DE CHARPENTE"
"GABRIEL SEBASTIEN SAS","","LIEU DIT FLOURIN","31430","SENARENS","0561871046","","","4391A","51170382900032","1 เ 2","","GABRIEL SEBASTIEN","TRAVAUX DE CHARPENTE"
"GARCIA JESUS","","1 Bis RUE MICHELET","31190","AUTERIVE","0783618530","","","4391A","82856698400013","0","","DE JESUS GARCIA PEDRO MIGUEL","TRAVAUX DE CHARPENTE"
"GIMENO CHARPENTE","","4 ROUTE ST SULPICE","31410","MAUZAC","0661180973","","","4391A","85274001800019","Inconnu","","GIMENO SEBASTIEN","TRAVAUX DE CHARPENTE"
"GOSSELIN JEAN FRANCOIS","","1 RUE PIC CARLIT","31500","TOULOUSE","0618633418","","","4391A","52766067400013","0","","GOSSELIN JEAN-FRANCOIS","TRAVAUX DE CHARPENTE"
"GRILLET ROMAIN","","14 RUE GEN GIRAUD","31200","TOULOUSE","0686524628","","","4391A","82151138300019","Inconnu","","GRILLET ROMAIN","TRAVAUX DE CHARPENTE"
"GUISIANO AURELIEN","","RUE CARD SOURRIEU","31160","ASPET","0645786055","","","4391A","75154086500019","Inconnu","","GUISIANO AURELIEN","TRAVAUX DE CHARPENTE"
"HAFDHALLI JAMEL","","30 ALLEE BELLEFONTAINE","31100","TOULOUSE","0626647744","","","4391A","83463233300011","0","","HAFDHALLI JAMEL","TRAVAUX DE CHARPENTE"
"ID CONSTRUCTION BOIS","","RUE LONGUE","31160","ENCAUSSE LES THERMES","0679487570","","","4391A","52922337200010","3 เ 5","","ESQUERRE VERONIQUE","TRAVAUX DE CHARPENTE"
"JEAN GASPIN GASPIN ET FILS","","4 IMPASSE BARTHELEMY THIMONIER","31270","CUGNAUX","0561075015","","","4391A","81923546600011","3 เ 5","","GASPIN SEBASTIEN","TRAVAUX DE CHARPENTE"
"JGL ENTREPRISE","","7 QUARTIER BALSA","31870","LAGARDELLE SUR LEZE","0618639189","","","4391A","85311579800011","Inconnu","","LABAT-GEST JEROME","TRAVAUX DE CHARPENTE"
"JUSTAUT RENE","","50 ROUTE GAILLARD DU PORT","31410","MAUZAC","0630494149","","","4391A","82143737300011","0","","JUSTAUT RENE","TRAVAUX DE CHARPENTE"
"KB CHARPENTE","","66 ROUTE SEYSSES","31100","TOULOUSE","0649933734","","","4391A","87955338600019","Inconnu","","BARHOUMI KAIS","TRAVAUX DE CHARPENTE"
"KIENTZ ALEXANDRE","","RUE PIERRES","31260","ESCOULIS","0672841537","","","1623Z","53215074500026","Inconnu","","KIENTZ ALEXANDRE","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"KIRIGAMI CONSTRUCTION","","8 IMPASSE LEONCE COUTURE","31200","TOULOUSE","0516570822","","","4391A","82383657200037","Inconnu","pguiraud@kirigami-construction.com","COUTURIER TOM","TRAVAUX DE CHARPENTE"
"L' AGE DU BOIS","","20 Bis CHEMIN FENOUILLET","31200","TOULOUSE","0699374334","","","4391A","51480445900022","20 เ 49","","DELAUNAY NICOLAS","TRAVAUX DE CHARPENTE"
"L'ART DE LA CHARPENTE","","4 Bis CHEMIN FONTANE","31410","LE FAUGA","0561097568","","","4391A","87803237400018","Inconnu","","AUQUIERT FABIEN","TRAVAUX DE CHARPENTE"
"L'ART DU TOIT","21 QUATER","CHEMIN PRAT MAJOUS","31320","CASTANET TOLOSAN","0687754225","","","4391A","85227822500010","Inconnu","artdutoit31@yahoo.fr","CALBET ADRIEN","TRAVAUX DE CHARPENTE"
"LABADIE JEREMY","","1 RUE BERTRAND","31480","LAGRAULET ST NICOLAS","0650943536","","","4391A","51513040900029","Inconnu","","LABADIE JEREMY","TRAVAUX DE CHARPENTE"
"LACAZE CHARPENTE BOIS","","1 CHEMIN VIGNALIS","31130","FLOURENS","0633080819","","","4391A","79518297100023","0","","NOEL THOMAS","TRAVAUX DE CHARPENTE"
"LDS","","57 AVENUE JULES JULIEN","31400","TOULOUSE","0562264328","","","4391A","3442718870006","6 เ 9","sorre@lds.fr","","TRAVAUX DE CHARPENTE"
"LES ATELIERS DARLES","","ZI PALEGRIL","31330","GRENADE","0561826139","","","4391A","37910965500041","Inconnu","","DARLES PHILIPPE","TRAVAUX DE CHARPENTE"
"LES CHARPENTES D AUJOURD'HUI","","ZA LAGARRIGUE","31380","GARIDECH","0688871140","","","4391A","43418003000026","3 เ 5","","FARDIN DANIEL","TRAVAUX DE CHARPENTE"
"LES COMPAGNONS DU BOIS","","19 Bis AVENUE FORET","31370","RIEUMES","0612942620","","","4391A","53900121400011","1 เ 2","","AESCHBACHER YOHAN","TRAVAUX DE CHARPENTE"
"LLABO","","11 RUE VIENNE","31100","TOULOUSE","0638837476","","","4391A","85283032200016","Inconnu","","LLABO","TRAVAUX DE CHARPENTE"
"LOISIL THIBAULT","","MOULERES ST FRAJOU","31230","ST FRAJOU","0682211690","","","4391A","81485758700012","0","","LOISIL THIBAULT","TRAVAUX DE CHARPENTE"
"LOPES KEVIN","","34 AVENUE GEORGES POMPIDOU","31270","CUGNAUX","0621847717","","","4391A","48011460200042","0","","LOPES KEVIN","TRAVAUX DE CHARPENTE"
"M BELGHITI MUSTAPHA","","51 ROUTE ESPAGNE","31100","TOULOUSE","0624557019","","","4391A","48849831200013","1 เ 2","","BELGHITI MUSTAPHA","TRAVAUX DE CHARPENTE"
"MAISON RENO DECO","","9 Bis RUE VIOLETTES","31140","FONBEAUZARD","0605270126","","","4391A","81497257600015","Inconnu","","TILHAC BAPTISTE","TRAVAUX DE CHARPENTE"
"MC CONSTRUCTIONS","","28 AVENUE MARENGO","31800","LABARTHE RIVIERE","0645577427","","","4391A","49844562600027","Inconnu","","MESPLEDE CAMILLE","TRAVAUX DE CHARPENTE"
"ME CHARPENTES SARL","","LIEU DIT DARRE CASE","31800","RIEUCAZE","0688236216","","","4391A","52976799800022","6 เ 9","","BELLAOUI MEHDI","TRAVAUX DE CHARPENTE"
"MELIX RIC","","CHEMIN AYROLLE","31460","CARAMAN","0613163654","","","4391A","82381329000017","0","","MELIX ERIC","TRAVAUX DE CHARPENTE"
"MEMO BOIS","","LIEU DIT BORDENEUVE","31460","MAUREVILLE","0625276641","","","4391A","49120496200014","1 เ 2","","MONTANE ANDRE","TRAVAUX DE CHARPENTE"
"MEYERHOFFER MARCELIN","","50 CHEMIN FAUGERES","31410","NOE","0561904662","","","4391A","81821303500012","Inconnu","","MEYERHOFFER MARCELIN","TRAVAUX DE CHARPENTE"
"MIDI CHARPENTE BOIS","","83 CHEMIN BOURDETTES","31270","CUGNAUX","0561073736","","0561072750","4391A","40338560200012","10 เ 19","midicharpentebois@gmail.com","","TRAVAUX DE CHARPENTE"
"MINETTE GERARD","","CASTIE","31850","MONTRABE","0567336503","","","4391A","34176774700049","0","","MINETTE GERARD","TRAVAUX DE CHARPENTE"
"MK CHARPENTES","","11 RUE PECH","31340","VILLEMUR SUR TARN","0677543235","","","4391A","82422243400014","0","","RECORDON MICHAEL","TRAVAUX DE CHARPENTE"
"MURET CHARPENTE","","32 RUE FERRANE","31600","EAUNES","0777976839","","","4391A","90468749800017","Inconnu","","KHERRAZ RHEDA","TRAVAUX DE CHARPENTE"
"MV CHARPENTE","","22 AVENUE GASCOGNE","31600","LHERM","0562471135","","","4391A","88321759800019","Inconnu","","VIALARD MAXIME","TRAVAUX DE CHARPENTE"
"NOYER EDOUARD","","7 PLACE COMMERCIALE JOLIMONT","31500","TOULOUSE","0698994805","","","4391A","83536913300011","0","","NOYER EDOUARD","TRAVAUX DE CHARPENTE"
"OCCITANIE CC SASU","BAT B APRT 7","26 RUE AUGUSTE RENOIR","31200","TOULOUSE","0762826768","","","4391A","84134599400013","0","","SAOUDI MOHAMED","TRAVAUX DE CHARPENTE"
"OCCITANIE TOITURE","","1 RUE LEO FERRE","31270","CUGNAUX","0681726490","","","4391A","83180330900036","1 เ 2","contact@occitanietoiture.com","NAIRI KEIN","TRAVAUX DE CHARPENTE"
"PORTES EO","","RESIDENCE CHAMPAGNE 88 ALL JEAN JAURES","31000","TOULOUSE","","","0561473754","1623Z","50169647000027","0","","GAYRARD JEAN-LOUIS","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"PRADELEIX GIL","","LARNAUTOU","31540","VAUX","0950839925","","","4391A","80760590200012","0","","PRADELEIX GIL","TRAVAUX DE CHARPENTE"
"PRIMO CHARPENTE","ZA DU GIROU","34 RUE GIROU","31380","GRAGNAGUE","0561406162","","0561405749","4391A","50300248700034","Inconnu","","BONIS CHARANCLE PIERRE","TRAVAUX DE CHARPENTE"
"PRO G GEURTS","PRO G GEURTS","143 ROUTE ST CLAR","31370","BEAUFORT","0676672531","","","4391A","82456156700010","0","","GEURTS MATHIEU","TRAVAUX DE CHARPENTE"
"PYVETEAU LOUIS","","865 CHEMIN CHAUMES","31380","BAZUS","0601126528","","","4391A","83331607800017","0","","PYVETEAU LOIS","TRAVAUX DE CHARPENTE"
"R2C CHARPENTES","","3 CHEMIN PAPUS","31100","TOULOUSE","0623146165","","","4391A","83860677000017","0","","RAOUD MUSTAPHA","TRAVAUX DE CHARPENTE"
"RATHBEGER PIERRE","","22 CHEMIN MARIN","31100","TOULOUSE","0619536656","","","4391A","33749718400032","Inconnu","","RATHBEGER PIERRE","TRAVAUX DE CHARPENTE"
"RC CHARPENTE","","12 ROUTE ESCALQUENS","31320","CASTANET TOLOSAN","0668761968","","","4391A","50491056300023","0","","BOURY JEAN-PIERRE","TRAVAUX DE CHARPENTE"
"RENOV TOIT 31","","41 RUE MAIRIE","31260","CASSAGNE","0615302468","","","4391A","83811927900019","Inconnu","","PERRARD GUILLAUME","TRAVAUX DE CHARPENTE"
"REY CHRISTOPHE","","LE CAP D'ARBON","31160","ESTADENS","0683199110","","","4391A","40086322100034","Inconnu","","REY CHRISTOPHE","TRAVAUX DE CHARPENTE"
"RIOU CHARPENTE","","20 AVENUE GASCOGNE","31410","ST HILAIRE","0615202935","","","4391A","44515321600012","0","rioucharpente@wanadoo.fr","RIOU FRANCOIS","TRAVAUX DE CHARPENTE"
"RIOU ENGUERRAND","","33 RUE JEAN CHEVERRY","31100","TOULOUSE","0675665731","","","4391A","52778144700018","Inconnu","","RIOU ENGUERRAND","TRAVAUX DE CHARPENTE"
"RIVIERE JULIE","","51 AVENUE AMETHYSTES","31650","ST ORENS DE GAMEVILLE","0782258231","","","4391A","75036721100018","0","","RIVIERE BERNARD","TRAVAUX DE CHARPENTE"
"ROC CHARPENTE TRADITION","","50 CHEMIN COTES","31410","LONGAGES","0561907576","","","4391A","42377630100016","3 เ 5","","ROC THIERRY","TRAVAUX DE CHARPENTE"
"SAINT PAUL CEDRIC","","17 ROUTE GLEYZE","31210","LES TOURREILLES","0561940930","","","4391A","84956427300019","0","","SAINT-PAUL CEDRIC","TRAVAUX DE CHARPENTE"
"SARL LCQVC","","SALASTRE FOS","31440","FOS","0664871300","","","4391A","52492844700027","0","","BRILLON VIANNEY","TRAVAUX DE CHARPENTE"
"SERCOB","","18 CHEMIN SPORTS","31450","BELBERAUD","0562578514","","","1623Z","51819046700028","3 เ 5","","DELEST CHRISTOPHE","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"SFT RENOVATION","ETS BATIMENT B","109 AVENUE LESPINET","31400","TOULOUSE","0769995640","","","4391A","81128610300023","Inconnu","","UGAL SONY","TRAVAUX DE CHARPENTE"
"SIDONIO PIRES","","169 Bis AVENUE JACQUES DOUZANS","31600","MURET","0689588441","","","4391A","44779067600046","1 เ 2","","PIRES SARMENTO SIDONIO","TRAVAUX DE CHARPENTE"
"SOCIETE CHARPENTE OSSATURE BOIS","","6 RUE CHATEAU","31370","POUCHARRAMET","0534477845","","","4391A","89207877500012","Inconnu","","MIANES RAPHAEL","TRAVAUX DE CHARPENTE"
"SOCIETE NOUVELLE CHEMELLO SNC","","3 CHEMIN LABASTIDOLE","31140","PECHBONNIEU","0685571463","","","4391A","83260683400014","0","","ZAMORANO JOSE","TRAVAUX DE CHARPENTE"
"SOLUTIONS BOIS","","88 AVENUE GEORGES BRASSENS","31860","LABARTHE SUR LEZE","0683220787","","","4391A","47998969100015","0","","MALBREIL PHILIPPE","TRAVAUX DE CHARPENTE"
"SORNAS ALEXANDRE","","14 ZA TOURNERIS","31470","BONREPOS SUR AUSSONNELLE","0561086054","","","4391A","48186753900027","6 เ 9","tradition.bois@wanadoo.fr","SORNAS ALEXANDRE","TRAVAUX DE CHARPENTE"
"SOUILLA","","BARES","31370","BEAUFORT","0561918973","","","4391A","50213746600012","3 เ 5","","MORANVILLE SANDRINE","TRAVAUX DE CHARPENTE"
"SOUPENE BERNARD","","CHEMIN CIER PRATS DE DESSUS","31210","ARDIEGE","0561895870","","","4391A","32172738000032","0","","SOUPENE BERNARD","TRAVAUX DE CHARPENTE"
"SUC PATRICE","","240 ROUTE MONTAUBAN","31660","BESSIERES","0582746982","","","4391A","5388865570001","0","","","TRAVAUX DE CHARPENTE"
"TECHPRO TOITURE","","65 ROUTE ST SULPICE","31410","MAUZAC","0750687913","","","4391A","84390011900010","0","","LAGRENEE JONATHAN","TRAVAUX DE CHARPENTE"
"TEYCHENNE JEAN","","40 CHEMIN DOURDOUILLE","31390","CARBONNE","0771323665","","","4391A","80438805600025","Inconnu","","TEYCHENNE JEAN","TRAVAUX DE CHARPENTE"
"TEYSONNEYRE ANDRE OLIVIER","","CAMPAS","31440","EUP","0608583215","","","4391A","42477987400017","0","","TEYSSONNEYRE ANDRE","TRAVAUX DE CHARPENTE"
"TOITS DU MIDI","","12 IMPASSE PETUNIAS","31200","TOULOUSE","0675603532","","","4391A","81379202500021","0","","CUILLIER VINCENT","TRAVAUX DE CHARPENTE"
"TOULOUSE CHARPENTES","","27 LOTISSEMENT PRADAS","31410","MAUZAC","0951406201","","","4391A","44217930500044","6 เ 9","","BELGHERRES WILLIAM","TRAVAUX DE CHARPENTE"
"TOURNEE DU COQ","","9 IMPASSE POUSSINS","31470","FONSORBES","0534513831","","0567339235","4391A","45119374200025","10 เ 19","","GAYET FREDERIC","TRAVAUX DE CHARPENTE"
"TOUT EN BOIS","","ROUTE AERODROME","31370","SABONNERES","0616102951","","","4391A","44496068600012","Inconnu","","SEVERAN LUDOVIC","TRAVAUX DE CHARPENTE"
"VALERA CHRISTIAN","","100 CHEMIN JARDINS","31370","BERAT","0611763349","","","4391A","80739962100018","Inconnu","","VALERA CHRISTIAN","TRAVAUX DE CHARPENTE"
"VENTURA CARLOS","","660 CHEMIN CANTOPERDRIC","31600","EAUNES","0688928113","","","4391A","47834848500028","1 เ 2","","DAVID VENTURA CARLOS","TRAVAUX DE CHARPENTE"
"VIANO JEAN CHRISTOPHE","","LA CARRETERE","31430","POUY DE TOUGES","0626563560","","","4391A","80084423500021","0","","VIANO JEAN-CHRISTOPHE","TRAVAUX DE CHARPENTE"
"VISEU CHARPENTE","","10 CHEMIN LAQUES","31180","CASTELMAUROU","0534360996","","","4391A","53748373700053","Inconnu","viseu-charpente@orange.fr","MARC RAPHAEL","TRAVAUX DE CHARPENTE"
"WDW DEVELOPPEMENT","","RUE COURNET","31440","ARLOS","0698169056","","","4391A","80292359900012","1 เ 2","","DELFOSSE WOLFRAM","TRAVAUX DE CHARPENTE"
"WILLIAM PITELET CHARPENTE","","1 CHEMIN BRIQUETTERIE","31600","MURET","0787959223","","","4391A","85407135400013","Inconnu","","PITELET WILLIAM","TRAVAUX DE CHARPENTE"
"WOODTECH","","32 AVENUE BORDE HAUTE","31750","ESCALQUENS","0665041964","","","4391A","83256229200017","0","","CONDAT FLORIAN","TRAVAUX DE CHARPENTE"
"YBAT","","2 RUE COMMINGES","31220","COULADERE","0615429397","","","4391A","83830956500011","Inconnu","","BERARD YANN","TRAVAUX DE CHARPENTE"
"ZEC SARL","","39 RUE FRENES","31400","TOULOUSE","0561406921","","","4391A","79146839000038","Inconnu","","ZAOUANI EL","TRAVAUX DE CHARPENTE"
"ARZI BEHROUZ","","ANCIENNE ECOLE DES GARCONS LE VILLAGE","32450","FAGET ABBATIAL","0633774559","","","4391A","53449907400019","Inconnu","","ARZI BEHROUZ","TRAVAUX DE CHARPENTE"
"B CARRE HABITAT","","QUARTIER GUILLOTS","32240","MAUPAS","0695549545","","","4391A","84771223900015","Inconnu","","BRAU BAPTISTE","TRAVAUX DE CHARPENTE"
"BARBE NICOLAS","","78 RUE ADOUR","32160","PLAISANCE","0661877414","","","4391A","88161903500010","Inconnu","","BARBE NICOLAS","TRAVAUX DE CHARPENTE"
"BERNADET VINCENT BERNADET CHARPENTES","","ZAC DEUX PONTS","32110","LANNE SOUBIRAN","0607993758","","","4391A","81011522000016","1 เ 2","","BERNADET VINCENT","TRAVAUX DE CHARPENTE"
