"Nom","Adresse 1","Adresse 2","Code postal","Ville","Téléphone 1","Téléphone 2","Fax","NAF","SIRET","Effectif","Email","Responsable","Activité"
"BTECH MAINTENANCE","","18 PLACE MESANGES","29300","QUIMPERLE","0298960485","","","3312Z","50983204400010","0","","HALPHEN GERALD","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"M P E S","ZAC DE LA DOURDENNE","20 RUE POIRIERS","31620","FRONTON","0561097194","","","3312Z","52247293500025","1 à 2","","LENGLET PATRICK","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"POULET MICHEL","","60 ROUTE ESPANES","31810","CLERMONT LE FORT","0561764858","","0959026031","3312Z","39363029800015","0","","POULET MICHEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"PRECIA MOLEN SERVICE","ZA DE RATALENS","8 IMPASSE RATALENS","31240","ST JEAN","0534270981","","","3312Z","34974317900252","6 à 9","","COLOMBEL RENE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"BEAUMARCHES MACHINES AGRO ALIMENTAIRE BMAA","","ROUTE MARCIAC","32160","BEAUMARCHES","","","0562037256","3312Z","52521463100018","3 à 5","","DE LUCCHI JEAN-MARC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"DEFORGES","","6 AVENUE PIERRE DE COUBERTIN","36000","CHATEAUROUX","0254342192","","","3312Z","39822098800032","0","contact@deforges-sarl.fr","MODDE MARIE-BERNADETTE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AIRPPV","","33 FAUBOURG MOULINS","38460","CREMIEU","0474941306","","","3312Z","5243039480002","1 à 2","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ATMIS","","933 CHEMIN VIENTIN","38300","LES EPARRES","0649084840","","","3312Z","82910545100019","1 à 2","","GONCALVES FRANCOIS","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MAB INDUSTRIE","","79 IMPASSE CHARDONNERETS","38290","FRONTONAS","0682592505","","0482530440","3312Z","48939587100028","0","","DURAND JEAN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SDMI","","352 ROUTE PLAMPALAIS","38620","ST GEOIRE EN VALDAINE","0476071042","","","3312Z","48071210800012","1 à 2","","SERVONNET DENIS","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"D M I 39","","ZI MELINCOLS","39110","SALINS LES BAINS","0384521656","","","3312Z","50958882800020","0","","CORNU SEBASTIEN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"THIRION MACHINES A BOIS","","3 RUE VIGNE AUX MOINES","39330","MOUCHARD","0384378506","","","3312Z","42410865200019","1 à 2","","THIRION BERNARD","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CMA INDUSTRIE","","LIEU DIT FRESCALINES","46120","LEYME","0565407830","","","3312Z","82185514500016","1 à 2","","PERRIN GILLES","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"LE ROUX ETS","ZI DU CORMIER","8 Bis RUE ARMAND MAYER","49300","CHOLET","0663548859","","","3312Z","83859045300018","Inconnu","","LE ROUX FREDERIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MACHINES A BOIS SERVICES","","4 IMPASSE MAR BERNADOTTE","57360","AMNEVILLE","0387713608","","","3312Z","49309360300014","0","","GARZIA ENZO","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"TONI DANIEL","","ZI CARREAU DE LA MINE","57118","STE MARIE AUX CHENES","0387618200","","","3312Z","33035166900032","0","","TONI DANIEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"BOUILLET DIDIER","","17 AVENUE TILLEULS","59130","LAMBERSART","0667574458","","","3312Z","41517381400013","0","","BOUILLET DIDIER","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"HOLLINGSWORTH FRANCE SARL","","RUE PHILIPPAUX","59960","NEUVILLE EN FERRAIN","0320945342","","","3312Z","41779229800024","1 à 2","","EHNIS RONNIE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"OUTILS BOIS","","RUE EPINETTE","59850","NIEPPE","0320487977","","0320487974","3312Z","32018127400020","0","commercial@outils-bois.com","MAES POL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"BMMI","","8 RUE CHARRON","62111","SAILLY AU BOIS","0695584878","","","3312Z","82007719600013","1 à 2","","BAL ERIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SOS MACHINES A COUDRE","","54 RUE WALDECK ROUSSEAU","62800","LIEVIN","0321740879","","","3312Z","85015543300012","Inconnu","contact@pulsat.fr","MARCHIAFAVA JEAN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AUVERGNE MAINTENANCE ET MOTORISATION","","29 RUE GEORGES BESSE","63100","CLERMONT FERRAND","0473159748","","","3312Z","89296882700014","Inconnu","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"HUBER GERARD","","5 RUE BANNHOLZ","67660","BETSCHDORF","0950239445","","","3313Z","5345071080001","0","","","REPARATION DE MATERIELS ELECTRONIQUES ET OPTIQUES"
"ENAULT","","9 RUE CALMETTE","69740","GENAS","0437549934","","","3312Z","85054263000023","1 à 2","","ENAULT JULIEN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"FRANCOIS GUILLAUME SARL","","432 ZA TUILIERE","69510","THURINS","0603413373","","0989264956","3312Z","74986618200019","0","","FRANCOIS GUILLAUME","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"LASER TOPO EXPRESS","","53 RUE GLACIERE","69600","OULLINS","0472392710","","0472392368","3313Z","48756841200018","3 à 5","","HENRY PATRICK","REPARATION DE MATERIELS ELECTRONIQUES ET OPTIQUES"
"CPM","","EN BIGOTTE","71800","ST CHRISTOPHE EN BRIONNAIS","0618557476","","","3312Z","51780762400021","1 à 2","","MARITANO CHRISTOPHE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ECOCLEAN TECHNOLOGIES","","30 RUE ARNOLD DOLMETSCH","72000","LE MANS","0253230350","","0253230375","3312Z","79936792500028","20 à 49","","F RSTER MICHAEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"LADENER PATRICE","","1584 ROUTE CHAPELLE ST REMY","72450","LOMBRON","0243897042","","","3312Z","32894415200029","Inconnu","","LADENER PATRICE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"TECH'MAINT PRO","","LE COL","74470","LULLIN","0450738897","","","3312Z","53259762200010","Inconnu","","ODIARD GILBERT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"LEVESQUE XAVIER","","15 RUE BOIS DE LA CROIX","76850","GRIGNEUSEVILLE","0607265494","","","3312Z","69274085500022","0","","LEVESQUE XAVIER","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"PRECIA MOLEN SERVICE","ZA SAPINS SECTION E","ROUTE SAPINS","76110","BREAUTE","0232756213","","","3312Z","34974317900864","6 à 9","","COLOMBEL RENE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SERVICES MACHINES BOIS SMB","","14 RUE ADRIEN CORVAISIER","76350","OISSEL","0235340452","","","3312Z","44167877800024","1 à 2","","BOURGEAUX JOEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"NORD PICARDIE MACHINES A BOIS","","11 RUE EGLISE","80620","RIBEAUCOURT","0644893036","","","3312Z","81098292600018","1 à 2","","POULAIN ERIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AWETA FRANCE","","CHEMIN COU","84800","LAGNES","","","0490889127","3312Z","43892424300035","6 à 9","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"RICATECH THOMAS MACHINES A BOIS","","1021 RUE LEO BAEKELAND","85290","MORTAGNE SUR SEVRE","0251617332","0683513754","0251617348","3312Z","49858500900034","10 à 19","","ARTUSSE MICKAEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"V C S","","41 RUE ALEXANDER FLEMING","85000","LA ROCHE SUR YON","0251242785","","0251242786","3312Z","45019481600044","Inconnu","","FAVRE CHRISTOPHE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"LARENN","PARC OCEALIM","3 RUE LOUIS BLERIOT","87270","COUZEIX","0555366181","","0555366188","3312Z","33988421500023","10 à 19","","LAJUDIE JEAN-ANDRE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"FV PHOTONICS","","22 RUE PIERRE LAROUSSE","89100","PARON","0652916670","","","3313Z","82443759400016","0","","VINCENT FABRICE","REPARATION DE MATERIELS ELECTRONIQUES ET OPTIQUES"
"IMA FRANCE","","77 AVENUE VICTOR HUGO","92500","RUEIL MALMAISON","0147323180","","","3312Z","32826331400028","20 à 49","ima@fr.ima.it","FRICKE THOMAS","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"LOURENCO ARMANDO","","23 AVENUE BOURGOGNE","93160","NOISY LE GRAND","0143057740","","","3312Z","81009065400015","Inconnu","","LOURENCO ARMANDO","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"OLSA","","81 BOULEVARD GAMBETTA","95110","SANNOIS","0139814679","","0139811428","3312Z","59820252100020","10 à 19","commercial@olsa.fr","BORELLA LUCA","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"GILBERT ROBIN RIVOIRE","","60 RUE HAUTERIVE","73360","LES ECHELLES","0479628882","","","3312Z","41144733700014","1 à 2","","ROBIN-RIVOIRE GILBERT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"BMS BARBET MAINTENANCE SYSTEMES","","260 CHEMIN BETRANE","01370","ST ETIENNE DU BOIS","0787088937","","","3312Z","84433177700012","0","","BARBET FABIEN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CAISSE CONCEPT","","7 RUE CYCLAMENS","01100","GEOVREISSET","0684938163","","","3312Z","80896013200013","0","","GERARD THOMAS","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"COCHET GUY","","18 CHEMIN GRANGES","01800","ST MAURICE DE GOURDANS","0474618430","","","3314Z","50806414400019","Inconnu","","COCHET GUY","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"DANIEL BALLAND ASSITANCE","","112 CHEMIN TREVOUGES","01320","CHATILLON LA PALUD","0675740701","","","3312Z","43983639600010","1 à 2","","BALLAND DANIEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"DEVOS VANDENHOVE ELECTRONIQUE","","375 ALLEE LILAS","01150","ST VULBAS","0474399785","","0437632309","3314Z","44087101000052","6 à 9","","","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"DOLIOT","","7 PLACE GARE","01460","MONTREAL LA CLUSE","0674011395","","","3312Z","53172460700019","1 à 2","","MIDOL JEAN-MARC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"F AUTOMATION","","15 IMPASSE SAPINS","01390","ST ANDRE DE CORCY","0688462361","","","3312Z","75149474100018","1 à 2","","FERRAND MATTHIEU","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MALPEL GEORGES","","32 RUE CHARLES PIGEON","01360","LOYETTES","0607588130","","","3312Z","49172396100018","Inconnu","","MALPEL GEORGES","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MTI MAINTENANCE","","100 ALLEE ERABLES","01150","BLYES","0963539146","","","3312Z","42043460700040","1 à 2","","DABIN PASCAL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MTSM","","MOULIN A VENT","01330","BIRIEUX","0675633173","","","3312Z","49415556700014","Inconnu","","MOREL PASCAL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"PLASTIC HYBRID INDUSTRIES PHI","","73 AVENUE NARIX","01460","MONTREAL LA CLUSE","0474761371","","","3312Z","52372526500012","Inconnu","","BURSIN NICOLAS","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SOVERP SARL","","ZA","01480","CHALEINS","0474678643","","0474678405","3312Z","40132506300014","20 à 49","contact@soverp.fr","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"YTEC","","4 Bis RUE MONT OLIVET","01100","BELLIGNAT","0474778684","","","3314Z","35033779600014","0","vigielist@wanadoo.fr","TOURNIER COLLETTA YVON","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"DEVOS VANDENHOVE ELECTRONIQUE SARL","","ZI ETOMELLES","02200","VILLENEUVE ST GERMAIN","0825825826","","","3314Z","44087101000037","6 à 9","","","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"DREKAN BEAUTOR","ZA NORD","18 RUE STADE","02800","BEAUTOR","0323577100","","","3314Z","33751658700082","Inconnu","","","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"EL KIHEL YAHIA","","11 RUE CHAMP SOT","02400","CHATEAU THIERRY","0614116817","","","3312Z","47924013700022","0","","EL KIHEL YAHIA","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ENDEL","","2 RUE MARCHOIS","02600","VILLERS COTTERETS","0323965000","","0323965023","3312Z","43827703000443","20 à 49","","BURIN DES ROZIERS EMERIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"GSCE","","26 ROUTE SOISSONS","02300","CHAUNY","0323391446","","","3312Z","39956895500013","6 à 9","","LE DREF HERVE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"LECLERCQ ROBERT ET FILS SARL","","HAM HERVINE","02330","CELLES LES CONDE","0323824164","","0323821557","3312Z","4483527730001","1 à 2","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"M SI INDUSTRIE SARL","","46 GRANDE RUE","02240","BRISSAY CHOIGNY","","","0970604957","3314Z","79254795200012","3 à 5","","MONTARDIER GEORGES","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"MEKKA","","20 RUE MOINET","02800","BEAUTOR","0323370943","","","3312Z","48249354100015","Inconnu","contact@mekka.fr","KOULOUH MOHAMED","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"PICOT DENIS","","16 RUE ANCIENS COMBATTANTS","02390","NEUVILLETTE","0323098110","","","3312Z","84302354000019","Inconnu","","PICOT DENIS","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"PLANTIN SERGE ET FILS SARL","","53 RUE FERE","02400","CHATEAU THIERRY","0323690938","","0323693774","3314Z","33212220900015","1 à 2","","PLANTIN YOAN","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"SEIBO STE ELECTRONIQUE IND BOBINAGE SASU","PARC DES AUTOROUTES","RUE ANDRE MISSENARD","02100","ST QUENTIN","0323510720","","0323510730","3314Z","38056058100072","10 à 19","","","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"SEIM STE EUROPEENNE INTERVENTION MECANIQUE SAR","","12 RUE GEORGES BUFFON","02000","LAON","","","0323240597","3312Z","34400657200079","0","","DORLENCOURT MAURICE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SMIS 02","","25 ROUTE FERE EN TARDENOIS","02200","BELLEU","0323751035","","0323736628","3312Z","43511966400025","1 à 2","contact@smis02.fr","PERIE GILLES","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"XDA MAINTENANCE INDUSTRIELLE","","78 RUE SADI CARNOT","02120","GUISE","0612697730","","","3312Z","79458423500012","0","","DELLA CASA XAVIER","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"E M I","","5 RUE INDUSTRIE","03250","LE MAYET DE MONTAGNE","0688057197","","","3312Z","44231244300025","1 à 2","","FRAGO MICKAEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ELEC BOBINAGE","","3 CHEMIN CAILLAUDE","03200","ABREST","0470327693","","","3314Z","50343234600016","0","","EVANDILOFF SABRINA","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"FRAGO MICKAEL","","5 RUE INDUSTRIE","03250","LE MAYET DE MONTAGNE","0470597161","","","3312Z","44231244300025","0","emifrago@gmail.com","FRAGO MICKAEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"LMI","","LIEU DIT TUREAU","03230","LUSIGNY","0470438219","","","3312Z","42913653400014","3 à 5","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"GMSI","","883 CHEMIN AUGUSTE GIRARD","04100","MANOSQUE","0637830511","","","3312Z","84787266000026","Inconnu","","ALLIBE JACQUES","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MECA TECH","","427 ZI ST MAURICE","04100","MANOSQUE","0492796681","","","3312Z","51905526300031","3 à 5","","ALESSI FABRICE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ATELIERS MATHIEU SARL","","63 AVENUE BROUSSAILLES","06400","CANNES","0493451546","","0493461927","3314Z","39343991400036","Inconnu","","CONSTANTIN RICHARD","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"BERNARDI JENA MARC HENRY","","323 ROUTE STRATEG DU MONT MACARON","06730","ST ANDRE DE LA ROCHE","0493544381","","","3312Z","51956264900011","0","","BERNARDI JEAN-MARC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CENTRAL SAT","ZI TROIS MOULINS","511 RUE HENRI LAUGIER","06600","ANTIBES","0493638947","","0493649301","3312Z","48747644200057","6 à 9","","BORZA PHILIPPE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"EBM LOGISTIQUE MARINE EBM LOGISTIQUE MARIN","","1 Bis IMPASSE EUCALYPTUS","06400","CANNES","0493900400","0611134610","","3314Z","44949750200038","0","","MAZEV DAVY","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"EIRL OLRY ALAIN  TOUTELEC INDUSTRIES","","1350 CHEMIN BAUDARIC","06390","CONTES","0493790798","","0493791129","3314Z","34280889600019","3 à 5","","OLRY ALAIN","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"ELEC OUTILS CAULETIN","","10 RUE ARMEE D'ORIENT","06300","NICE","0492002992","","","3314Z","33147819800012","Inconnu","info@cauletin.com","CONSTANTIN RICHARD","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"INSTALLATION MAINTENANCE SERVICES IMS","","511 RUE HENRI LAUGIER","06600","ANTIBES","0617474384","","","3312Z","84009513700021","Inconnu","","CATUDAL PHILIPPE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MAINTELEC MECA TECHNIQUE SERVICES","","50 ROUTE OPIO","06740","CHATEAUNEUF GRASSE","0492604078","","","3313Z","51352341500018","0","","CHATEAUVIEUX PATRICK","REPARATION DE MATERIELS ELECTRONIQUES ET OPTIQUES"
"MECA SERVICE","","217 RUE CLAUDE BERNARD","06700","ST LAURENT DU VAR","0493143442","","0493312695","3312Z","38522162700024","6 à 9","","NERINI HERVE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CJ 07","","1336 CHEMIN MONT DOUX","07200","VESSEAUX","0638014354","","","3312Z","82846165700011","0","","CHENAVIER JEROME","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"FULL TECHNIQUES SERVICES","","425 CHEMIN GRANDES VIGNES","07430","ST CLAIR","0661705117","","","3312Z","89965865200016","Inconnu","a.lascombe@ftservices.pro","LASCOMBE ADRIEN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"JACQUET MAINTENANCE EURL","","QUARTIER CHABANNE","07000","GOURDON","0621578685","","","3312Z","78853965800013","Inconnu","","JACQUET THIERRY","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"JOBERT YANNICK","","1107 ROUTE COMBALAT","07340","FELINES","0675880097","","","3312Z","53286550800016","1 à 2","","JOBERT YANNICK","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MDI 07","","MENAFAURIES","07800","CHARMES SUR RHONE","0475609683","","","3312Z","44116026400012","0","","MILOCHEVITCH DAVID","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MSN INDUSTRIES SARL","","4 IMPASSE ANDRE TOUZERY","07130","ST PERAY","0783975224","","","3312Z","84216087100013","Inconnu","","SUREL NICOLAS","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"OPRV OUTILLAGE PNEUMATIQUE RICHARD VINZIO","ZI LOMBARDIERE","2 RUE FRERES SEGUIN","07430","DAVEZIEUX","0475676161","","0475676178","3312Z","39254194200018","6 à 9","","VINZIO RICHARD","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ORIOL JEAN MARIE","","151 RUE LA FONTAINE","07430","ST CLAIR","0663480083","","","3312Z","81447771700023","Inconnu","jmo.mindus@gmail.com","ORIOL JEAN MARIE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"PROMAINT","","29 QUAI JULES ROCHE","07340","SERRIERES","0623444361","","","3312Z","84104064500019","1 à 2","","PALOMARES JEAN-FRANCOIS","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ATOUT SERVICE EURL","","23 RUE FAUSSES BRAIES","08200","SEDAN","","","0324296789","3314Z","41505912000014","1 à 2","","NANNAN MICHEL","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"DELISE ARMAND","","5 PLACE EGLISE","08600","CHOOZ","0324223727","","","3312Z","75190252900013","0","","DELISE ARMAND","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"EB MAINTENANCE","","RUE CAMOT","08120","BOGNY SUR MEUSE","0324521235","","","3312Z","80053427300019","3 à 5","contact@eb-maintenance.fr","BERTO ERIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"FATEM","","27 GRANDE RUE","08430","BOUVELLEMONT","","","0324542833","3314Z","41057228300027","1 à 2","","BOURNET BRUNO","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"MAINTENANCE USINAGE BRADFER MUB","","ZI","08200","GLAIRE","0324294177","","0324270928","3312Z","38084126200021","3 à 5","","PENSABENE ALEXANDRE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"IGNASSE JEAN MARC","","MONIE","09100","ST JEAN DU FALGA","0561680283","","","3314Z","33820680800010","0","","IGNASSE JEAN-MARC","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"MECANIQUE USINAGE SOUDURE","","3 CAMI DEL BATUT","09600","TABRE","0662519470","","","3312Z","47809671200045","Inconnu","","PRADERE SEBASTIEN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AUBE MAINTENANCE SERVICES","","36 RUE PRINCIPALE","10240","AULNAY","0325279405","","","3312Z","45384217100010","3 à 5","","BRIET CHRISTOPHE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"DESCHARMES DOMINIQUE","","11 RUE ST NICOLAS","10140","JESSAINS","0325927023","","","3312Z","53837311900014","0","","DESCHARMES DOMINIQUE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"P L M SERVICES SARL","","23 RUE CROIX DU TEMPLE","10200","BAR SUR AUBE","0325271868","","0325271024","3314Z","41200117400017","3 à 5","plm.services@dossot.fr","WALKIEWICZ STEPHANE","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"POULAIN BOBINAGE","","6 RUE PAUL CEZANNE","10120","ST GERMAIN","0325496481","","","3314Z","49459054000048","Inconnu","","PARDAILHE DOMINIQUE","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"KARL O LAVAGE H P","","2 AVENUE GEN LECLERC","11110","VINASSAN","0468336139","","","3312Z","51540605600017","Inconnu","","EURL KARL O LAVAGE H P","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"PROS TECH INDUSTRIE","","4 ALLEE SAPINETTES","11390","CUXAC CABARDES","0641967035","","","3312Z","82234546800018","3 à 5","","SANTIAGO ANTOINE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SEIA ELECTRONIQUE","","8 RUE RATACAS","11100","NARBONNE","0468414801","","0468422003","3313Z","43923987200039","10 à 19","","MURA JACQUES","REPARATION DE MATERIELS ELECTRONIQUES ET OPTIQUES"
"MIG 46","","1155 MAS JAMMES","12200","LA ROUQUETTE","0621852589","","","3312Z","79042924500018","1 à 2","","BADERSBACH LAURENT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"TECHNI SERVICES","","LOTISSEMENT GRANGES","12200","VILLEFRANCHE DE ROUERGUE","0689351201","","","3312Z","49846676200032","3 à 5","","GARRIC VINCENT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"2HP SERVICES","","ROUTE COTE D'AZUR","13590","MEYREUIL","0608227605","","","3312Z","85366360700010","Inconnu","","HEBERT ALEXANDRE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"A C S M AUTO CONTR SECUR MAINTENANCE","","9 IMPASSE SOURCE","13770","VENELLES","0607696261","","","3312Z","50242831100018","0","","MILLES ALAIN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"APPLIC'EQUIL SERVICES","","3 RUE LEON FOUCAULT","13500","MARTIGUES","0489513497","","0442441465","3312Z","40193204100031","1 à 2","","DITLECADET YANNICK","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ASERTI ELECTRONIC","ZAC L'AGAVON SYNERGIPARC","LOTISSEMENT 12 AV JEAN JAURES","13170","LES PENNES MIRABEAU","0413228431","","0413228436","3313Z","38449111400276","3 à 5","","","REPARATION DE MATERIELS ELECTRONIQUES ET OPTIQUES"
"AUTRAN REPARATION MATERIEL DE GARAGE","","56 BOULEVARD VALBARELLE","13011","MARSEILLE","0620910981","","","3312Z","53112469100027","1 à 2","","AUTRAN JEAN-LUC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"BMS","","730 CHEMIN FONTAINE DE LAURENT","13880","VELAUX","0675592764","","","3312Z","39989809700064","0","","BRUNET-MANQUAT STEPHANE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"BSM DEPANNAGE","","207 AVENUE ANATOLE FRANCE","13230","PORT ST LOUIS DU RHONE","0689414385","","","3312Z","50049308500012","Inconnu","","BEN SAAD MOHAMED","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"COFELY ENDEL","","ZI FEUILLANE","13270","FOS SUR MER","0442053207","","","3312Z","43827703001169","200 à 249","merja.auer@gmail.com","BURIN DES ROZIERS EMERIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CONTROLE SECURITE MAINTENANCE REGULATION CSMR","ZA LE CASTELLET","6 VOIE COMMUNALE LE CASTELLET","13115","ST PAUL LES DURANCE","0442576945","","0442576946","3312Z","35166390100046","20 à 49","csmr@foselev.fr","LAMARTINIERE MICHEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CROCE GREGORY","","94 IMPASSE LILAS 2","13340","ROGNAC","0616973624","","","3312Z","80088358900015","0","","CROCE GREGORY","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"DLB SERVICES","HAM DE CAZAN","CHEMIN TERRE NOBLE","13116","VERNEGUES","0611213735","","","3312Z","83172387900019","Inconnu","","LE BOHEC DIDIER","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"DOUNA MAINTENANCE INDUSTRIELLE","STE BATILOC 6","800 AVENUE CHATEAU DE JOUQUES","13420","GEMENOS","0442703263","","","3312Z","50135528300026","3 à 5","","DOUNA PATRICIA","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
