"Nom","Adresse 1","Adresse 2","Code postal","Ville","Téléphone 1","Téléphone 2","Fax","NAF","SIRET","Effectif","Email","Responsable","Activité","Activité","Activité","Activité","Activité"
"ASSU 2000","","557 ROUTE TOULOUSE","33140","VILLENAVE D'ORNON","0148107125","","","6622Z","30536216202983","1 à 2","","","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","","",""
"ASSUR CONSEILS AQUITAINE","TECHNOPOLE MONTESQUIEU","1 ALLEE JACQUES LATRILLE","33650","MARTILLAC","0646309085","","","6619B","82253989600016","0","","CARRENO SYBILLE","COURTIERS D'ASSURANCES","","","",""
"ASSUR&MF ASSURANCES SAS","","31 RUE GEN DE GAULLE","33310","LORMONT","0557832810","","","6622Z","79378471100020","1 à 2","","KHALFI ALI","COURTIERS D'ASSURANCES","","","",""
"ASSURANCE MOTO VERTE AMV","","RUE MIGUEL DE CERVANTES","33700","MERIGNAC","0820820750","","0556346482","6622Z","33054090700038","250 à 499","","ALLARD FRANCK","COURTIERS D'ASSURANCES","","","",""
"ASSURANCE SPHERE CONSEIL EURL","","41 COURS LIBERATION","33000","BORDEAUX","0524072526","","","7022Z","83329065300017","0","","PORTAL XAVIER","COURTIERS D'ASSURANCES","","","",""
"ASSURANCES 33","","1 PLACE ARISTIDE BRIAND","33310","LORMONT","0557999857","","","6622Z","84180592200017","Inconnu","","ODABAS UNAL","COURTIERS D'ASSURANCES","","","",""
"ASSURANCES LAPEYRE","","78 AVENUE MEDOC","33320","EYSINES","0556177880","","","","0","","","","COURTIERS D'ASSURANCES","","","",""
"ASSURELIANCE","","35 Bis AVENUE HUBERT DUBEDOUT","33270","FLOIRAC","0659638086","","","6622Z","51366718800017","0","","ASSURELIANCE","COURTIERS D'ASSURANCES","","","",""
"ASSURENCES PHENIX COURTAGE","","1 AVENUE LIBERATION","33310","LORMONT","0626784041","","","6622Z","81318121100026","1 à 2","","LATASTE AGNES","COURTIERS D'ASSURANCES","","","",""
"ASSURONS NOUS ENSEMBLE","","5 RUE LIBERTE","33200","BORDEAUX","0671863604","","","","0","","","","COURTIERS D'ASSURANCES","","","",""
"ATLANTIQUE COURTAGE CONSEILS","","23 ALLEE CHARTRES","33000","BORDEAUX","0556810054","","","6622Z","38069583300034","Inconnu","a.2c@wanadoo.fr","","COURTIERS D'ASSURANCES","","","",""
"ATOUT ASSURANCE","","14 RUE CANTELAUDETTE","33310","LORMONT","0556230860","","","","0","","","","COURTIERS D'ASSURANCES","","","",""
"AUDIPRO GROUPE","","36 ALLEE GRAND OUSTEAU","33950","LEGE CAP FERRET","0557704058","","","6622Z","43043044700010","1 à 2","","JAVAULT CHRISTIAN","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","MUTUELLES D'ENTREPRISES","MUTUELLES ETUDIANTES","SOCIETES D'ASSURANCES"
"AUDIT COURTAGE SARL","","2 IMPASSE MURIERS","33700","MERIGNAC","0556497313","","0556497314","6622Z","41902126600061","3 à 5","info@audit-courtage.fr","PENCHOAT SERGE","COURTIERS D'ASSURANCES","","","",""
"AUSONE COURTAGE","","22 RUE CANTERANNE","33370","BONNETAN","0698604055","","","6622Z","51958587100014","Inconnu","","MERCIER FLORIAN","COURTIERS D'ASSURANCES","","","",""
"AVENIR ASSURANCES","","34 RUE BALANOS","33470","LE TEICH","0662749634","","","6622Z","79497494900016","0","","CHEREAU CELINE","COURTIERS D'ASSURANCES","","","",""
"AXA MESSAGER LOIC","","127 BOULEVARD REPUBLIQUE","33510","ANDERNOS LES BAINS","0662336095","","","6622Z","81334478500031","0","","MESSAGER LOIC","COURTIERS D'ASSURANCES","","","",""
"AXEN","","15 RUE AUSONE","33000","BORDEAUX","0556445046","","0556818756","6820B","81918879800014","0","","DIANA FABRICE","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS","COURTIERS PRETS IMMOBILIERS","",""
"AXIALIS","","459 Bis AVENUE VERDUN","33700","MERIGNAC","0557001758","","0556478722","6622Z","48053921200013","1 à 2","","SOULE CLAUDE","COURTIERS D'ASSURANCES","","","",""
"AZEMA BERSON MAUDE","","88 RUE LAGRANGE","33000","BORDEAUX","0620567462","","","6622Z","50362462900013","Inconnu","","BERSON MAUDE","COURTIERS D'ASSURANCES","","","",""
"BAROS CLAUDE SOLVISEO","","73 RUE DAVID JOHNSTON","33000","BORDEAUX","0689492325","","","6622Z","50255633500060","1 à 2","","MOMBO BAROS CLAUDE","COURTIERS D'ASSURANCES","","","",""
"BERGEON CAROLE","","11 LIEU DIT OMBRAGE","33710","PUGNAC","0609613149","","","6622Z","42174064800017","0","","BERGEON CAROLE","COURTIERS D'ASSURANCES","","","",""
"BESTANI SCS ASSURANCES","","1 CHEMIN LAPIN","33610","CESTAS","0650644669","","","6622Z","81495000200018","Inconnu","","BESTANI SANDRA","COURTIERS D'ASSURANCES","","","",""
"BORDEAUX COURTAGE ASSURANCES","","15 PLACE PIERRE RENAUDEL","33800","BORDEAUX","0556150020","","","6622Z","49517775000041","1 à 2","","LEGROS PHILIPPE","COURTIERS D'ASSURANCES","","","",""
"BOURREC JEAN FRANCOIS","","135 CHEMIN CLOTTES","33360","QUINSAC","0547797403","","","6622Z","32450481000031","Inconnu","","BOURREC JEAN-FRANCOIS","COURTIERS D'ASSURANCES","","","",""
"BOUTHIER BERNARD","","21 IMPASSE STE URSULE","33000","BORDEAUX","0980731452","","0985731452","","0","Inconnu","","","COURTIERS D'ASSURANCES","","","",""
"BRAS PHILIPPE","","9 ALLEE RICHELIEU","33230","COUTRAS","0557411598","","0955251810","","0","Inconnu","","","COURTIERS D'ASSURANCES","","","",""
"CABINET ASC","","3 Bis AVENUE PIERRE CASTAING","33600","PESSAC","0556362031","","","6622Z","41010163800048","0","","SALE JEAN","COURTIERS D'ASSURANCES","","","",""
"CABINET ASSURANCES COURTAGE BROCHARD CACB","","117 LIEU DIT PLASSAN SUD","33340","LESPARRE MEDOC","0619446398","","","6622Z","53530466100015","1 à 2","","BROCHARD ALAIN","COURTIERS D'ASSURANCES","","","",""
"CABINET CHALULEAU","","11 RUE GABRIEL LEGLISE","33200","BORDEAUX","0664895550","","","7022Z","49792878800023","0","","CHALULEAU MAGALI","COURTIERS D'ASSURANCES","","","",""
"CABINET CONSEIL COURTAGE ASSURANCES","","2 AVENUE MERIGNAC","33700","MERIGNAC","0677981355","","","6622Z","82818506600036","Inconnu","","LOUBACKY DELROSS","COURTIERS D'ASSURANCES","","","",""
"CABINET DE BELEM","","1 ALLEE ECUREUILS","33185","LE HAILLAN","0556351132","","","6622Z","48320074700028","1 à 2","cabinetdebelem@wanadoo.fr","ALVES SOUSA SANTOS BILAC","COURTIERS D'ASSURANCES","","","",""
"CABINET FOLLOW COURTAGE","","51 QUAI LAWTON","33300","BORDEAUX","0640511139","","","7010Z","90002852300018","Inconnu","","LASPRESES REJANE","COURTIERS D'ASSURANCES","","","",""
"CABINET POHL","","9 ALLEE BOISSIERES","33980","AUDENGE","0612260311","","","","0","","","","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","","",""
"CABINET STRAGESFI","","13 ESPLANADE JEAN VALLEIX","33110","LE BOUSCAT","0540001164","","","6622Z","52928051300076","Inconnu","","PIERRE-PAUL FRED","COURTIERS D'ASSURANCES","","","",""
"CABINET TM","","2 ALLEE FERDINAND DE LESSEPS","33470","GUJAN MESTRAS","0624048190","","","6920Z","35344688300038","Inconnu","","DAYCARD JEAN","COURTIERS D'ASSURANCES","","","",""
"CABINET VIBERT","","4 AVENUE CARNOT","33200","BORDEAUX","0557140790","","","6622Z","40288047000057","Inconnu","contact@cabinetvibert.fr","VIBERT ALEXANDRE","COURTIERS D'ASSURANCES","CREDIT IMMOBILIER","COURTIERS PRETS IMMOBILIERS","SOCIETES D'ASSURANCES",""
"CAC 33 CONSEIL ASSURANCE COURTAGE","","2 PLACE EGLISE","33310","LORMONT","0557358213","",""," 6622","42513160400034","1 à 2","","BONOMO VITA","COURTIERS D'ASSURANCES","","","",""
"CAP 2C COURTAGE SAS","","6 AVENUE NEIL ARMSTRONG","33700","MERIGNAC","0556181151","","","7022Z","53410056500025","Inconnu","","CREMADES RAYMOND","COURTIERS D'ASSURANCES","","","",""
"CAP CONCILIO","","11 RUE GALIN","33100","BORDEAUX","0661244133","","","6622Z","83764878100016","0","","RIBEIRO DA COSTA CECILIA","COURTIERS D'ASSURANCES","","","",""
"CAP CONSEIL","","48 AVENUE COMTE","33510","ANDERNOS LES BAINS","0781400383","","0953067781","6622Z","79901826200029","Inconnu","","JORIGNE FRANK","COURTIERS D'ASSURANCES","","","",""
"CAPELLE ALAIN","","RUE ABBE MOUNIER","33170","GRADIGNAN","0661710713","","","2370Z","89223291900019","Inconnu","","CLEP ADRIEN","COURTIERS D'ASSURANCES","","","",""
"CAPELLE ALAIN","7 QUINQUIES","RUE BENEDIGUES","33170","GRADIGNAN","0661710713","","","","0","","","","COURTIERS D'ASSURANCES","","","",""
"CASSAGNE PATRICE","","5 RUE CROISEE DES CHEMINS","33830","BELIN BELIET","0682233335","","","6622Z","41211527100055","0","","CASSAGNE PATRICE","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS","CREDIT A LA CONSOMMATION","CREDIT IMMOBILIER",""
"CASTELLA CONSEIL","","8 AVENUE ROGER LAPEBIE","33140","VILLENAVE D'ORNON","0624063149","","","6629Z","79907077600015","Inconnu","","CASTELLA CONSEIL","COURTIERS D'ASSURANCES","","","",""
"CCA VIALLEFOND","","10 RUE GAMBETTA","33190","LA REOLE","0556611351","","","6622Z","42176761700010","0","","VIEILLEFOND JEAN","COURTIERS D'ASSURANCES","","","",""
"CERTI FINANCES","","9 RUE MONTGOLFIER","33700","MERIGNAC","0649950924","","","6622Z","81159425800030","Inconnu","","DANJOU NICOLAS","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS","","",""
"CHATEL ASSURANCES ASSUR EI","","3 ALLEE MEDOC","33160","ST AUBIN DE MEDOC","0811694969","0535540808","","","0","","","","COURTIERS D'ASSURANCES","","","",""
"CLARITAS","","25 ALLEE CHARTRES","33000","BORDEAUX","0547551196","","","6622Z","47957330500030","Inconnu","","BAHIER LAURENT","COURTIERS D'ASSURANCES","","","",""
"CLASS ASSURANCES","","91 RUE NUYENS","33100","BORDEAUX","0557772929","","0557772930","6622Z","89024289400016","Inconnu","","LEPOUTRE SEBASTIEN","COURTIERS D'ASSURANCES","","","",""
"CLCP ASSURANCES","","9 PLACE SALVADOR ALLENDE","33850","LEOGNAN","0557677086","","","6622Z","84854013400022","Inconnu","clcp-assurances@orange.fr","VIDAL CECILE","COURTIERS D'ASSURANCES","","","",""
"CLERIANE ASSURANCES","","35 Bis AVENUE HUBERT DUBEDOUT","33270","FLOIRAC","0637105235","","","6622Z","79092815400026","1 à 2","","GUASCH VALERIE","COURTIERS D'ASSURANCES","","","",""
"CMI COURTAGE","BAT EMERAUDE","61 RUE CAMILLE PELLETAN","33150","CENON","0556407490","","","6622Z","50149152600031","1 à 2","","HERENG DAMIEN","COURTIERS D'ASSURANCES","","","",""
"COATES ET LAPORTE","","10 RUE FURTADO","33800","BORDEAUX","0556901789","","","","0","","","","COURTIERS D'ASSURANCES","","","",""
"CONSEIL SC","","6 AVENUE NEIL ARMSTRONG","33700","MERIGNAC","0556445870","","0556812631","6622Z","37749056000044","10 à 19","","PETIT LAURENT","COURTIERS D'ASSURANCES","","","",""
"COURTAGE CADUCEE CONSEILS","","2 LIEU DIT BUISSON","33910","ST MARTIN DE LAYE","0618418931","","","","0","","","","COURTIERS D'ASSURANCES","","","",""
"COURTAGE GENERAL FRANCAIS","","43 BOULEVARD GEN LECLERC","33120","ARCACHON","0556830830","","","6622Z","51278483600037","1 à 2","","GAGNANT MICHAEL","COURTIERS D'ASSURANCES","","","",""
"COURTAGE GIRONDIN ASSURANCES","","25 AVENUE ARGONNE","33700","MERIGNAC","0556454708","","","6622Z","5375454440002","Inconnu","","","COURTIERS D'ASSURANCES","","","",""
"COURTAGE MALIN","","23 AVENUE MAISONNIEU","33680","LE PORGE","0619127305","","","6622Z","52303580600018","0","","ORLIANGES SEBASTIEN","COURTIERS D'ASSURANCES","CREDIT IMMOBILIER","","",""
"COURTAGE ODEON & K","","86 Bis COURS MAR DE LATTRE DE TASSIGNY","33210","LANGON","0612063730","","","6622Z","50117432000025","Inconnu","contact@courtage-odeon.com","KIEFFER MICHEL","COURTIERS D'ASSURANCES","","","",""
"DE BECHADE SARL","","11 RUE THEODORE BLANC","33520","BRUGES","0556674099","","","6622Z","52033890600032","6 à 9","","DE BECHADE JEAN-YVES","COURTIERS D'ASSURANCES","","","",""
"DE CASTELBAJAC CHARLES","","43 RUE ARCACHON","33000","BORDEAUX","0556909246","","","6622Z","33276194900020","0","","DE CASTELBAJAC CHARLES","COURTIERS D'ASSURANCES","","","",""
"DESCUDET ET CIE","","6 RUE VAUBAN","33000","BORDEAUX","0556006910","","","6622Z","45820273600013","20 à 49","","DESCUDET LUCAS","COURTIERS D'ASSURANCES","","","",""
"DEU ALAIN","","RESIDENCE ROLAND GARROS 158 R JULES FERRY","33200","BORDEAUX","0556027781","","0556170447","6622Z","34886824100038","1 à 2","","DEU ALAIN BERTRAND JACQUES","COURTIERS D'ASSURANCES","","","",""
"DOMYTIS COURTAGE","","95 RUE MOULINEAU","33170","GRADIGNAN","0556720310","","","6622Z","84502266400013","Inconnu","","HARADJI FREDERIC","COURTIERS D'ASSURANCES","","","",""
"DUCHESNE","","38 RUE FERRERE","33000","BORDEAUX","","","0556006390","6622Z","37893644700028","0","","ALLARD GREGORY","COURTIERS D'ASSURANCES","","","",""
"EFFICIENCE CONSEIL","","8 AVENUE ROGER LAPEBIE","33140","VILLENAVE D'ORNON","0668344172","","","6622Z","50394025600012","3 à 5","","GARCIA CHRISTOPHE","COURTIERS D'ASSURANCES","","","",""
"EME ASSURANCES","","7 ALLEE CHARTRES","33000","BORDEAUX","0624316862","","","6622Z","50795972400034","Inconnu","","COUPY REMY","COURTIERS D'ASSURANCES","","","",""
"ENGICEA","","1400 AVENUE PARC DES EXPOSITIONS","33260","LA TESTE","0564520060","","","6622Z","82956631400011","0","","GRIMAUD NADINE","COURTIERS D'ASSURANCES","","","",""
"EURODOMMAGES S A","IMMEUBLE TASTA C4.3","9 AVENUE RAYMOND MANAUD","33520","BRUGES","0556113522","","0556509083","6622Z","40259614200057","20 à 49","","","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","","",""
"FABRE COURTAGE ASSURANCES FCA","","88 AVENUE PRES J F KENNEDY","33700","MERIGNAC","0557222490","","0557222499","6622Z","37901775900075","Inconnu","contact@groupe-fabre.fr","FABRE DOMINIQUE","COURTIERS D'ASSURANCES","","","",""
"FILHET ALLARD","","RUE DOCT GABRIEL PERI","33300","BORDEAUX","0556363907","","","","0","","","","COURTIERS D'ASSURANCES","","","",""
"GIEA AQUITAINE  SARL","","155 RUE MOUNEYRA","33000","BORDEAUX","0556977601","","","6622Z","53789788600017","1 à 2","","ROSE MARJORIE","COURTIERS D'ASSURANCES","","","",""
"GIRONDE PREVOYANCE SANTE","","39 ROUTE TOUTY","33370","POMPIGNAC","0556876857","","","6622Z","38842615700052","3 à 5","","DAMOUR JOCELYNE","COURTIERS D'ASSURANCES","","","",""
"GP GARANTIE PRIVEE GARANTIE PRIVEECOM","","7 ALLEE HAUSSMANN","33300","BORDEAUX","0557991619","","","","0","","contact@garantie-privee.com","","COURTIERS D'ASSURANCES","ELECTROMENAGER (FABRICATION, GROS)","","",""
"GRAS SAVOYE GRAND SUD OUEST","","5 AVENUE RAYMOND MANAUD","33520","BRUGES","0556009090","","0556009091","9420Z","75131724900017","Inconnu","","COMITE D ETABLISSEMENT GRAS SAVOYE SUD OUEST","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","","",""
"GRIALDI MARC","BAT","RESIDENCE BOIS GRAMOND AU 117 AV ST MEDARD","33320","EYSINES","0556283780","","","6622Z","47786837600021","0","","GRIALDI MARC","COURTIERS D'ASSURANCES","","","",""
"GROUPE EUROSSUR","JARDINS DE GAMBETTA 2","74 RUE GEORGES BONNAC","33000","BORDEAUX","","","0556791613","6622Z","42249522600074","3 à 5","","RIGOIGNE PATRICE","COURTIERS D'ASSURANCES","","","",""
"GUYENNE ASSURANCES","","4 LIEU DIT GABOURIAUD SUD","33540","ST MARTIN DE LERM","0556713780","","","6622Z","83216496600018","Inconnu","","GUYENNE ASSURANCES","COURTIERS D'ASSURANCES","","","",""
"INJOYE","","5 ALLEE TOURNY","33000","BORDEAUX","0756811156","","","4771Z","80961799600032","Inconnu","","PROST KARL","COURTIERS D'ASSURANCES","","","",""
"INNOVIA ASSURANCES COMPAGNIE","IMM EPARC","16 RUE HERMITE","33520","BRUGES","0557882825","","","6622Z","52252365300023","1 à 2","","POLLET DENIS","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","","",""
"INTEGRALYS","","2 RUE ANJOU","33000","BORDEAUX","0557149876","","","","0","","","","COURTIERS D'ASSURANCES","","","",""
"J ACCOMPAGNE COURTAGE","","19 RUE JEAN PERRIN","33600","PESSAC","0679746026","","","","0","","","","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS","","",""
"JORIGNE INVEST","","48 AVENUE COMTE","33510","ANDERNOS LES BAINS","0781400383","","0953067781","6622Z","79901826200029","Inconnu","capconseil@groupesofraco.com","JORIGNE FRANK","COURTIERS D'ASSURANCES","","","",""
"JURIFISC  APJ","","58 AVENUE THIERS","33100","BORDEAUX","0556868472","","","6622Z","43803872100025","3 à 5","","ORGERON KARINE","COURTIERS D'ASSURANCES","","","",""
"KOMPARO ASSURANCES SARL","","8 RUE GUY PELLERIN","33114","LE BARP","0535544082","","","6622Z","75269832400023","1 à 2","contact@komparo.fr","VILLESANGE ERIC","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","","",""
"LE BOLLOCH VERONIQUE EI","","RUE STEAMERS","33270","FLOIRAC","0750910922","","","","0","","","","COURTIERS D'ASSURANCES","","","",""
"LE BON FINANCEMENT","","2 Bis RUE FRANCOIS MITTERRAND","33160","ST MEDARD EN JALLES","0556159848","","","6492Z","79140000500488","Inconnu","","","COURTIERS D'ASSURANCES","CREDIT IMMOBILIER","","",""
"LES BUREAUX DE L'EPARGNE DELEGUE AFER","","48 ALLEE TOURNY","33000","BORDEAUX","0556529999","","0556797437","6622Z","35249621000134","1 à 2","","COILLARD CONSTANCE","COURTIERS D'ASSURANCES","","","",""
"LISY ASSURANCES ET FINANCE","","8 Bis AVENUE TAUSSAT","33510","ANDERNOS LES BAINS","0556823202","","","6622Z","53322533000034","1 à 2","","POULAIN SANDRA","COURTIERS D'ASSURANCES","","","",""
"LSN ASSURANCES","CS 60047 BAT PHENIX","264 BOULEVARD GODARD","33300","BORDEAUX","0556117980","","0556117990","6622Z","38812306900188","10 à 19","","DEBIENNE BERNARD","COURTIERS D'ASSURANCES","","","",""
"MARSH SA","","5 RUE ARCHIMEDE","33700","MERIGNAC","0556799595","","","","0","","commercial.bordeaux@marsh.com","","COURTIERS D'ASSURANCES","","","",""
"MEGALITHE","","8 AVENUE ROGER LAPEBIE","33140","VILLENAVE D'ORNON","0557355730","","0557355731","","0","Inconnu","","","COURTIERS D'ASSURANCES","","","",""
"MEILLEURTAUXCOM RIVE DROITE CREDITS FRANCHISE","","14 AVENUE GEORGES CLEMENCEAU","33150","CENON","0557545454","",""," 6619","80765956000013","3 à 5","","","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS","CREDIT IMMOBILIER","COURTIERS PRETS IMMOBILIERS",""
"MICHEL PEDRON HAUSSMANN","","4 PLACE NOUVELLE 2","33120","ARCACHON","0557636490","","","","0","","","","COURTIERS D'ASSURANCES","","","",""
"MKS","","40 COURS VERDUN","33000","BORDEAUX","0672203309","","","6622Z","49505089000047","Inconnu","","DI STEFANO LOIC","COURTIERS D'ASSURANCES","","","",""
"MONGE JEAN FRANCOIS","TELECOPIEUR","104 AVENUE ALIENOR","33830","BELIN BELIET","","","0556880823","0210Z","3308856170002","0","","","COURTIERS D'ASSURANCES","","","",""
"MP ASSUR","","AVENUE ARISTIDE BRIAND","33700","MERIGNAC","0659354569","","","6622Z","82796390100018","0","","REYNOSO OLIVIER","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","MUTUELLES","MUTUELLES D'ENTREPRISES","MUTUELLES ETUDIANTES"
"MR SWISS","BAT E 101","8 RUE HENRI CARTIER BRESSON","33320","EYSINES","0667242867","","","6622Z","83318983000015","0","mrswiss@outlook.fr","MELIKYAN EDGAR","COURTIERS D'ASSURANCES","","","",""
"O C S O","","30 RUE ARIANE","33700","MERIGNAC","0556343666","","","6622Z","32433422600127","20 à 49","","GRAND JACQUES","COURTIERS D'ASSURANCES","","","",""
"OPTIMUM ASSURANCES","","39 Bis COURS YSER","33800","BORDEAUX","0981854530","","","6622Z","52046814100020","0","","DEPINAY FRANZ","COURTIERS D'ASSURANCES","","","",""
"ORMA","","10 RUE GASTON MARCHOU","33300","BORDEAUX","0557297049","","","6622Z","82443020100015","0","contact@freynoso.com","REYNOSO FLORIAN","COURTIERS D'ASSURANCES","","","",""
"PAILLER FREDERIC","","1 PLACE EGLISE","33550","LANGOIRAN","0557615992","","","6622Z","43990878100016","0","","PAILLER FREDERIC","COURTIERS D'ASSURANCES","","","",""
"PATRICE BALANGE SARL","","3 AVENUE LOUIS LAMOTHE","33510","ANDERNOS LES BAINS","0556824578","","0556822214","6622Z","45207608600019","1 à 2","","BALANGE PATRICE","COURTIERS D'ASSURANCES","","","",""
"PEGORER JEAN PIERRE","","71 RUE ANGEL DURAND","33400","TALENCE","0556374883","","","6622Z","32877328800043","0","","PEGORER JEAN-PIERRE","COURTIERS D'ASSURANCES","","","",""
"PREXIS CONSEIL","","21 AVENUE CANTERANNE","33600","PESSAC","0556790764","","0556792945","6622Z","44794070100017","0","","LEDUC FRANCOIS","COURTIERS D'ASSURANCES","","","",""
"PRO ASSURANCES SANTE","","133 RUE MARNE","33500","LIBOURNE","0557745796","","","6622Z","34103614300053","Inconnu","","CALA MARIO","COURTIERS D'ASSURANCES","","","",""
"PROGEAS","IMM TASTA C4 3","9 AVENUE RAYMOND MANAUD","33520","BRUGES","0556648000","","","6622Z","41135702300042","6 à 9","","","COURTIERS D'ASSURANCES","","","",""
"PROTEXI ASSURANCES","","293 COURS SOMME","33800","BORDEAUX","0556339425","","","6622Z","41069205700020","3 à 5","","THOMAS DE SOUYS ARNAUD","COURTIERS D'ASSURANCES","","","",""
"RDA RIVE DROITE ASSURANCES","","1 ROUTE LATRESNE","33270","BOULIAC","0556401444","0613264083","","6622Z","48096221600028","3 à 5","","BOSQUE SEBASTIEN","COURTIERS D'ASSURANCES","","","",""
"RDA RIVE DROITE ASSURANCES","","73 RUE EMILE DANTAGNAN","33240","ST ANDRE DE CUBZAC","0557435892","","","6622Z","48096221600036","0","sergefigues@orange.fr","BOSQUE SEBASTIEN","COURTIERS D'ASSURANCES","","","",""
"ROYER CORINNE","","46 LE BOURG","33570","PETIT PALAIS ET CORNEMPS","0666324074","","","8299Z","53012757000014","Inconnu","","ROYER CORINNE","COURTIERS D'ASSURANCES","","","",""
"RT COURTAGE","","3 RUE PASTOURELLE","33370","ARTIGUES PRES BORDEAUX","0659658269","","","6619B","81107718900017","1 à 2","","MARRACHE VANESSA","COURTIERS D'ASSURANCES","","","",""
"SAR FRANCE","","95 Bis RUE MOULINEAU","33170","GRADIGNAN","0554030005","","","6622Z","8345859600002","0","","","COURTIERS D'ASSURANCES","","","",""
"SC FINANCES INVEST","","2 LIEU DIT BUISSON","33910","ST MARTIN DE LAYE","0613383745","","","","0","","","","COURTIERS D'ASSURANCES","","","",""
"SCEP","APPARTEMENT 12 CASSY","1 AVENUE CAPIT GARBAY","33138","LANTON","0668605238","","","7120B","51931370400016","Inconnu","","SCEP","COURTIERS D'ASSURANCES","","","",""
"SCHELL AYMERIC","","2 PASSE EGLISE","33560","CARBON BLANC","0556380539","","","6622Z","44922339500038","1 à 2","","SCHELL AYMERIC","COURTIERS D'ASSURANCES","","","",""
"SENDRES DIDIER","","20 ALLEE JEAN JAURES","33210","LANGON","0556628783","","","0111Z","35347025500012","Inconnu","","SENDRES DIDIER","COURTIERS D'ASSURANCES","","","",""
"SERIN JEROME","","6 IMPASSE CONILHS","33380","MIOS","0666925006","","","6622Z","49269988900043","0","","SERIN JEROME","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS","CREDIT IMMOBILIER","SOCIETES D'ASSURANCES",""
"SIQA","","77 AVENUE GEN LECLERC","33200","BORDEAUX","0663048674","","","6622Z","88488670600016","Inconnu","","SABER STYVIE","COURTIERS D'ASSURANCES","","","",""
"SIQA","","17 RUE CANAL","33520","BRUGES","0977528569","","","","0","","","","COURTIERS D'ASSURANCES","","","",""
"SOCOGIR SARL","","14 AVENUE REPUBLIQUE","33185","LE HAILLAN","0556559891","","","6622Z","40311406900038","0","","BARAILLE MICHELE","COURTIERS D'ASSURANCES","","","",""
"SOFICAS","","6 RUE JEAN CROIX TREYERAN","33200","BORDEAUX","0556519160","","0556519162","6622Z","37968355000055","Inconnu","info@soficas.fr","ROLLAND JACQUES","COURTIERS D'ASSURANCES","","","",""
"SOLUVIE","ZI CHANTELOISEAU","8 AVENUE ROGER LAPEBIE","33140","VILLENAVE D'ORNON","0557355738","","0557355736","6622Z","7511888630001","1 à 2","","","COURTIERS D'ASSURANCES","","","",""
"SPB FAMILY COURTAGE","IMM PELUS PLAZA","16 AVENUE PYTHAGORE","33700","MERIGNAC","0524990809","","","7311Z","80126350000010","50 à 99","","","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","","",""
"SPHERE COURTAGE","","41 COURS LIBERATION","33000","BORDEAUX","0687079265","","","7022Z","82085901500027","0","pascale.lauriac@spherecourtage.com","LAURIAC PASCALE","COURTIERS D'ASSURANCES","","","",""
"STUDCORP","","16 AVENUE FAUVETTES","33700","MERIGNAC","0602648596","","","6622Z","83933127900027","Inconnu","","DOURSAT SIMON","COURTIERS D'ASSURANCES","","","",""
"SWISSLIFE LAVOYE LAURENT AGENT GENERAL","","27 RUE ESPRIT DES LOIS","33000","BORDEAUX","0556289464","","","6622Z","84992486500025","Inconnu","","HUIDOBRO DORIAN","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","","",""
"VB CONSEIL","","46 RUE TAUZIA","33800","BORDEAUX","0685772277","","","6622Z","8425285720003","Inconnu","","","COURTIERS D'ASSURANCES","","","",""
"VESLIN PASCAL","","24 RUE EDISON","33400","TALENCE","0950787454","","","6622Z","40473441000016","0","","VESLIN PASCAL","COURTIERS D'ASSURANCES","","","",""
"VGA CONSEIL","","133 RUE FONDAUDEGE","33000","BORDEAUX","0556586206","","","6622Z","83225614300013","1 à 2","","MAHU ARTHUR","COURTIERS D'ASSURANCES","","","",""
"VILLETORTE ASSURANCES","","48 RUE MARSEILLE","33000","BORDEAUX","0556336385","",""," 6622","52368913100036","3 à 5","","VILLETORTE MARC","COURTIERS D'ASSURANCES","","","",""
"XENASSUR","","RUE MIGUEL DE CERVANTES","33700","MERIGNAC","0556126027","","0556126029","6622Z","49314796100020","10 à 19","","ALLARD FRANCK","COURTIERS D'ASSURANCES","","","",""
"YES SANTE","","RUE MIGUEL DE CERVANTES","33700","MERIGNAC","0556129746","","","6820A","37971777000026","Inconnu","","ALLARD FRANCK  HENRY  MARIE  JEAN","COURTIERS D'ASSURANCES","","","",""
"YMANCI","","17 COURS VICTOR HUGO","33130","BEGLES","0587720115","","","","0","","","","COURTIERS D'ASSURANCES","CREDIT IMMOBILIER","","",""
